tweet_id,tweet_date,country,sentiment
1.25608E+018,05/01/2020,United States,2
1.25805E+018,05/06/2020,United Kingdom,2
1.25815E+018,05/06/2020,United States,2
1.25662E+018,05/02/2020,United Kingdom,2
1.25698E+018,05/03/2020,United Kingdom,2
1.25701E+018,05/03/2020,United States,2
1.25727E+018,05/04/2020,United States,2
1.25742E+018,05/04/2020,United States,2
1.25742E+018,05/04/2020,United States,2
1.25747E+018,05/05/2020,United States,0
1.25805E+018,05/06/2020,United States,2
1.25851E+018,05/07/2020,United States,0
1.2591E+018,05/09/2020,United States,2
1.25941E+018,05/10/2020,United Kingdom,0
1.25662E+018,05/02/2020,United States,2
1.25667E+018,05/02/2020,United States,0
1.25699E+018,05/03/2020,United States,2
1.25712E+018,05/04/2020,United States,2
1.25733E+018,05/04/2020,United States,2
1.25741E+018,05/04/2020,United States,0
1.25839E+018,05/07/2020,United States,2
1.25848E+018,05/07/2020,United Kingdom,2
1.25612E+018,05/01/2020,United States,2
1.25677E+018,05/03/2020,United States,0
1.25744E+018,05/04/2020,United States,2
1.25791E+018,05/06/2020,United States,2
1.25841E+018,05/07/2020,United States,0
1.25874E+018,05/08/2020,United States,2
1.25704E+018,05/03/2020,United Kingdom,2
1.25705E+018,05/03/2020,United States,2
1.25707E+018,05/03/2020,United Kingdom,2
1.25784E+018,05/06/2020,United States,2
1.25804E+018,05/06/2020,United States,2
1.25847E+018,05/07/2020,United States,2
1.25856E+018,05/08/2020,United States,2
1.25921E+018,05/09/2020,United States,2
1.25932E+018,05/10/2020,France,2
1.25631E+018,05/01/2020,United States,2
1.25657E+018,05/02/2020,United States,0
1.25669E+018,05/02/2020,United States,2
1.25731E+018,05/04/2020,United Kingdom,2
1.25861E+018,05/08/2020,United States,0
1.25896E+018,05/09/2020,United States,2
1.25674E+018,05/03/2020,United States,0
1.25741E+018,05/04/2020,United States,2
1.25747E+018,05/05/2020,Mexico,2
1.25755E+018,05/05/2020,United Kingdom,2
1.25874E+018,05/08/2020,United Kingdom,0
1.25892E+018,05/09/2020,United States,2
1.25934E+018,05/10/2020,United States,2
1.2567E+018,05/02/2020,United States,2
1.25782E+018,05/06/2020,Mexico,0
1.25793E+018,05/06/2020,United States,2
1.26026E+018,05/12/2020,United States,2
1.25657E+018,05/02/2020,United States,2
1.25763E+018,05/05/2020,United States,2
1.25789E+018,05/06/2020,United States,0
1.25845E+018,05/07/2020,United States,2
1.25851E+018,05/07/2020,United States,2
1.25957E+018,05/10/2020,United Kingdom,2
1.25734E+018,05/04/2020,United States,2
1.25749E+018,05/05/2020,United States,0
1.25827E+018,05/07/2020,United States,2
1.25879E+018,05/08/2020,United States,2
1.25881E+018,05/08/2020,France,2
1.25909E+018,05/09/2020,United States,2
1.25645E+018,05/02/2020,United States,2
1.2571E+018,05/04/2020,United States,0
1.25845E+018,05/07/2020,United States,2
1.25886E+018,05/08/2020,United States,2
1.25929E+018,05/10/2020,United States,2
1.25949E+018,05/10/2020,United Kingdom,2
1.25957E+018,05/10/2020,United Kingdom,2
1.25623E+018,05/01/2020,United States,2
1.25674E+018,05/03/2020,United States,2
1.25735E+018,05/04/2020,United Kingdom,2
1.2583E+018,05/07/2020,United States,0
1.25851E+018,05/07/2020,France,2
1.25857E+018,05/08/2020,United States,2
1.25861E+018,05/08/2020,United States,2
1.25696E+018,05/03/2020,United States,2
1.25738E+018,05/04/2020,United States,0
1.2596E+018,05/10/2020,Mexico,2
1.25632E+018,05/01/2020,United States,2
1.25713E+018,05/04/2020,United States,2
1.25726E+018,05/04/2020,United Kingdom,2
1.25739E+018,05/04/2020,France,2
1.25742E+018,05/04/2020,United Kingdom,2
1.25754E+018,05/05/2020,United States,2
1.26005E+018,05/12/2020,United States,2
1.25626E+018,05/01/2020,United Kingdom,0
1.25766E+018,05/05/2020,United States,2
1.25886E+018,05/08/2020,United Kingdom,2
1.26032E+018,05/12/2020,France,0
1.25605E+018,05/01/2020,United States,2
1.25642E+018,05/02/2020,United States,0
1.2565E+018,05/02/2020,United Kingdom,2
1.2574E+018,05/04/2020,United States,2
1.25742E+018,05/04/2020,United States,2
1.25743E+018,05/04/2020,United States,2
1.25602E+018,05/01/2020,United Kingdom,2
1.25626E+018,05/01/2020,United States,2
1.25633E+018,05/01/2020,United Kingdom,2
1.25692E+018,05/03/2020,United States,2
1.25739E+018,05/04/2020,United States,2
1.25875E+018,05/08/2020,United States,0
1.2589E+018,05/08/2020,United States,2
1.25628E+018,05/01/2020,United States,0
1.25734E+018,05/04/2020,United States,2
1.2574E+018,05/04/2020,United States,2
1.25766E+018,05/05/2020,United States,2
1.25883E+018,05/08/2020,United Kingdom,2
1.25934E+018,05/10/2020,United States,2
1.25989E+018,05/11/2020,Mexico,0
1.2563E+018,05/01/2020,United States,0
1.25713E+018,05/04/2020,United States,0
1.25742E+018,05/04/2020,United Kingdom,2
1.25777E+018,05/05/2020,United States,0
1.25813E+018,05/06/2020,United States,2
1.25845E+018,05/07/2020,United States,2
1.25892E+018,05/09/2020,United States,2
1.25914E+018,05/09/2020,United States,2
1.25971E+018,05/11/2020,United States,0
1.25616E+018,05/01/2020,United States,0
1.25662E+018,05/02/2020,France,2
1.25723E+018,05/04/2020,United States,0
1.25835E+018,05/07/2020,United Kingdom,0
1.25605E+018,05/01/2020,United States,2
1.25621E+018,05/01/2020,United Kingdom,2
1.25623E+018,05/01/2020,United States,2
1.25628E+018,05/01/2020,United Kingdom,2
1.25636E+018,05/01/2020,United States,2
1.25659E+018,05/02/2020,United Kingdom,0
1.25667E+018,05/02/2020,United States,0
1.25703E+018,05/03/2020,United States,2
1.2583E+018,05/07/2020,United States,0
1.25844E+018,05/07/2020,United States,2
1.2561E+018,05/01/2020,United States,2
1.25645E+018,05/02/2020,United States,2
1.25652E+018,05/02/2020,United States,2
1.25731E+018,05/04/2020,Mexico,2
1.25608E+018,05/01/2020,United States,2
1.25632E+018,05/01/2020,United States,2
1.25669E+018,05/02/2020,United States,2
1.25768E+018,05/05/2020,United Kingdom,2
1.25786E+018,05/06/2020,United States,2
1.25839E+018,05/07/2020,United States,2
1.25878E+018,05/08/2020,United Kingdom,0
1.25646E+018,05/02/2020,United States,0
1.25693E+018,05/03/2020,United States,0
1.25778E+018,05/05/2020,Mexico,2
1.25779E+018,05/05/2020,United States,2
1.2595E+018,05/10/2020,United States,2
1.25629E+018,05/01/2020,United States,0
1.25644E+018,05/02/2020,United States,2
1.25702E+018,05/03/2020,United States,2
1.25728E+018,05/04/2020,United States,2
1.25814E+018,05/06/2020,United States,2
1.25916E+018,05/09/2020,United States,2
1.25923E+018,05/09/2020,United States,2
1.25604E+018,05/01/2020,United States,2
1.25626E+018,05/01/2020,United States,2
1.25662E+018,05/02/2020,United Kingdom,2
1.25742E+018,05/04/2020,United Kingdom,2
1.25804E+018,05/06/2020,France,2
1.25814E+018,05/06/2020,United States,2
1.25816E+018,05/06/2020,United Kingdom,2
1.25859E+018,05/08/2020,United States,0
1.25929E+018,05/10/2020,United States,2
1.25746E+018,05/05/2020,United States,2
1.25827E+018,05/07/2020,United States,2
1.25861E+018,05/08/2020,United States,2
1.25931E+018,05/10/2020,United States,2
1.2567E+018,05/02/2020,United Kingdom,2
1.25673E+018,05/02/2020,United States,2
1.25735E+018,05/04/2020,United States,2
1.25738E+018,05/04/2020,United Kingdom,2
1.25749E+018,05/05/2020,United States,0
1.25884E+018,05/08/2020,United Kingdom,2
1.25892E+018,05/09/2020,United States,2
1.25904E+018,05/09/2020,United Kingdom,2
1.25981E+018,05/11/2020,United States,2
1.25628E+018,05/01/2020,United States,0
1.25631E+018,05/01/2020,United Kingdom,2
1.25636E+018,05/01/2020,United States,2
1.25639E+018,05/02/2020,United States,0
1.25639E+018,05/02/2020,United States,2
1.2564E+018,05/02/2020,United Kingdom,2
1.25717E+018,05/04/2020,United States,0
1.2589E+018,05/08/2020,United States,2
1.25952E+018,05/10/2020,United Kingdom,2
1.25636E+018,05/01/2020,United Kingdom,2
1.25745E+018,05/04/2020,United States,2
1.25825E+018,05/07/2020,United States,2
1.25921E+018,05/09/2020,United Kingdom,2
1.25616E+018,05/01/2020,United Kingdom,0
1.25627E+018,05/01/2020,United States,2
1.25667E+018,05/02/2020,United States,2
1.25676E+018,05/03/2020,United Kingdom,2
1.25691E+018,05/03/2020,United Kingdom,2
1.25718E+018,05/04/2020,France,2
1.25735E+018,05/04/2020,United States,2
1.25798E+018,05/06/2020,United Kingdom,2
1.2584E+018,05/07/2020,United States,0
1.25845E+018,05/07/2020,United States,2
1.25851E+018,05/07/2020,United Kingdom,0
1.25881E+018,05/08/2020,United States,2
1.25894E+018,05/09/2020,United States,0
1.25702E+018,05/03/2020,United Kingdom,0
1.25716E+018,05/04/2020,United States,2
1.25752E+018,05/05/2020,United States,0
1.2578E+018,05/05/2020,United States,0
1.25856E+018,05/08/2020,United States,2
1.25881E+018,05/08/2020,United States,0
1.25898E+018,05/09/2020,United States,0
1.25942E+018,05/10/2020,United States,2
1.2563E+018,05/01/2020,United States,2
1.25769E+018,05/05/2020,United States,2
1.25772E+018,05/05/2020,United Kingdom,0
1.25855E+018,05/08/2020,United States,2
1.25976E+018,05/11/2020,United Kingdom,2
1.25742E+018,05/04/2020,United States,2
1.2577E+018,05/05/2020,United States,2
1.25771E+018,05/05/2020,United States,2
1.25806E+018,05/06/2020,United Kingdom,2
1.25887E+018,05/08/2020,United Kingdom,2
1.25917E+018,05/09/2020,United Kingdom,2
1.25651E+018,05/02/2020,United States,2
1.257E+018,05/03/2020,United States,0
1.25711E+018,05/04/2020,United States,2
1.25713E+018,05/04/2020,United Kingdom,2
1.25736E+018,05/04/2020,United Kingdom,2
1.2574E+018,05/04/2020,United States,0
1.25776E+018,05/05/2020,United States,2
1.25847E+018,05/07/2020,United States,0
1.25608E+018,05/01/2020,United States,2
1.2566E+018,05/02/2020,United States,2
1.25681E+018,05/03/2020,United States,0
1.25859E+018,05/08/2020,United States,0
1.25912E+018,05/09/2020,Mexico,0
1.25603E+018,05/01/2020,United States,2
1.25621E+018,05/01/2020,United States,2
1.25674E+018,05/03/2020,United States,0
1.2579E+018,05/06/2020,Canada,0
1.25912E+018,05/09/2020,United States,2
1.26009E+018,05/12/2020,United Kingdom,2
1.25665E+018,05/02/2020,United States,2
1.25674E+018,05/03/2020,United States,2
1.25727E+018,05/04/2020,United States,0
1.25742E+018,05/04/2020,United States,2
1.25773E+018,05/05/2020,United Kingdom,2
1.25902E+018,05/09/2020,United Kingdom,2
1.25914E+018,05/09/2020,United States,2
1.25917E+018,05/09/2020,United States,0
1.25627E+018,05/01/2020,United States,0
1.25632E+018,05/01/2020,France,2
1.25734E+018,05/04/2020,United States,2
1.25768E+018,05/05/2020,United States,2
1.25788E+018,05/06/2020,United States,2
1.25831E+018,05/07/2020,United Kingdom,2
1.25901E+018,05/09/2020,United States,2
1.2563E+018,05/01/2020,United States,0
1.25697E+018,05/03/2020,United States,0
1.25753E+018,05/05/2020,United States,2
1.25632E+018,05/01/2020,United Kingdom,2
1.25633E+018,05/01/2020,United States,0
1.25636E+018,05/01/2020,United States,2
1.25675E+018,05/03/2020,United States,2
1.25685E+018,05/03/2020,United States,2
1.25725E+018,05/04/2020,United States,2
1.2575E+018,05/05/2020,United States,0
1.2585E+018,05/07/2020,United States,2
1.25852E+018,05/07/2020,Mexico,2
1.25632E+018,05/01/2020,United States,0
1.25665E+018,05/02/2020,United States,2
1.25762E+018,05/05/2020,United States,2
1.25763E+018,05/05/2020,United States,2
1.25786E+018,05/06/2020,United States,2
1.25794E+018,05/06/2020,United States,0
1.25827E+018,05/07/2020,Mexico,0
1.25908E+018,05/09/2020,United States,2
1.25974E+018,05/11/2020,United Kingdom,2
1.25606E+018,05/01/2020,United States,2
1.25695E+018,05/03/2020,United States,2
1.25725E+018,05/04/2020,United States,2
1.25804E+018,05/06/2020,United Kingdom,2
1.25841E+018,05/07/2020,United States,2
1.25627E+018,05/01/2020,United Kingdom,2
